Trait,Name,Rarity,Strength (0-100),Weakness
left-weapon,Axe,340,37,
left-weapon,Warrior Sword,55,25,
left-weapon,Spiked Mace,327,20,
left-weapon,Hook,422,5,
left-weapon,Martini,211,3,
left-weapon,Katana,110,32,
left-weapon,Stake,368,35,
left-weapon,None,1027,10,
left-weapon,Gordon's Crowbar,192,37,
left-weapon,Chainlink Sword,68,42,
left-weapon,Spinning Blade,215,26,
left-weapon,Honorable Weapon,85,23,
left-weapon,Nunchucks,186,22,
left-weapon,Butcher Knife,207,30,
left-weapon,Fire Axe,347,38,
left-weapon,Space Wizard Sword Blue,39,43,
left-weapon,Bow And Arrow,186,26,
left-weapon,Cardanir Hammer,72,43,
left-weapon,Zombie Hunter,209,45,
left-weapon,Space Wizard Sword Green,65,46,
left-weapon,Candy Cane,107,18,
left-weapon,Spear Of Destiny,186,35,
left-weapon,Cursed Scepter,74,31,
left-weapon,Molotov,359,24,
left-weapon,Pitchfork,277,10,
left-weapon,Space Wizard Sword Red,41,54,
left-weapon,Diamond Hands,21,49,
left-weapon,Bat,368,15,
left-weapon,Magic Wand Evil,215,26,
left-weapon,Bambo Knife,324,13,
left-weapon,Beer,329,2,
left-weapon,Blade,73,25,
left-weapon,Wizard Staff,139,39,
left-weapon,Fire Hand,61,43,
left-weapon,Z Virus,211,39,
left-weapon,Scepter,341,23,
left-weapon,Viking Axe,327,33,
left-weapon,Lucy Bat,56,38,
left-weapon,Cricket Bat,338,18,
left-weapon,Chain Whip,200,19,
left-weapon,Magic Wand Good,212,45,
left-weapon,Sai,356,16,
left-weapon,Small Sword Blue,54,30,
left-weapon,Sword Of The Bride,120,34,
left-weapon,Small Sword,371,20,
right-weapon,Crypt Raider,208,37,
right-weapon,Sawed Off Shotgun,301,40,
right-weapon,Sniper,378,41,
right-weapon,Bang Toy Gun,300,3,
right-weapon,Dimension Manipulator,228,34,
right-weapon,Combat Shotgun,325,30,
right-weapon,Pump Shotgun,349,28,
right-weapon,Warrior Shield,81,25,
right-weapon,Revolver,385,18,
right-weapon,Pirate Gun,339,17,
right-weapon,Chainsaw,219,37,
right-weapon,War Machine,81,38,
right-weapon,Super Drencher,308,17,
right-weapon,Light Gun,281,20,
right-weapon,Retro Blaster,42,23,
right-weapon,Ghost Breaker,203,28,
right-weapon,None,1103,20,
right-weapon,Crossbow,145,30,
right-weapon,Eternity Glove,110,15,
right-weapon,Diamond Hands,21,47,
right-weapon,Smg,166,40,
right-weapon,Viking Shield,408,35,
right-weapon,Powerful Glove,306,38,
right-weapon,Bug Torcher,303,22,
right-weapon,Pistol,437,17,
right-weapon,Ak47,367,37,
right-weapon,Pom Pom,128,7,
right-weapon,Plunger Gun,346,9,
right-weapon,Silenced Pistol,471,20,
right-weapon,Patriot Shield,35,36,
right-weapon,Flamethrower,97,52,
right-weapon,Banana,299,42,
right-weapon,Ninja Shuriken,387,44,
right-weapon,Rogue Gun,190,22,
right-weapon,Fire Hand,75,55,
right-weapon,Boomstick,172,49,
right-weapon,Foam Finger,392,16,
right-weapon,Zombie Chains The Flamethrower,14,55,
clothing,Santa,337,80,
clothing,Tank Top Black,297,50,
clothing,Angel,27,95,
clothing,T Shirt,308,25,
clothing,Superhero,76,75,
clothing,Tank Top,597,40,
clothing,Ghostbreaker,59,65,
clothing,Viking,601,60,
clothing,General,217,45,
clothing,Multipass,131,55,
clothing,Hoodie,232,40,
clothing,Space Marine,156,65,
clothing,Crypt Raider,251,70,
clothing,Vampire Hunter,50,80,
clothing,80s,307,90,
clothing,Wizard,153,90,
clothing,T Shirt Brains,104,40,
clothing,T Shirt Vote For Charles,142,35,
clothing,Police Officer,361,35,
clothing,T Shirt No Zombies,84,40,
clothing,Suit,469,50,
clothing,Camo,387,55,
clothing,Tank Top With Art,307,25,
clothing,Leather Jacket,277,40,
clothing,Astronaut,75,90,
clothing,Mad Scientist,278,80,
clothing,Hungry Arrow Girl,149,85,
clothing,No Fate Tank Top,262,40,
clothing,None,632,45,
clothing,Cut Offs,258,30,
clothing,Pirate,270,40,
clothing,Warrior Armor,119,75,
clothing,Apocalypse,394,70,
clothing,Redneck,317,55,
clothing,Grick Rimes,103,75,
clothing,Bride Jumpsuit,122,45,
clothing,Cheerleader,321,35,
clothing,Ashy,100,90,
clothing,Tuxedo,263,25,
clothing,Chef,298,35,
clothing,Space Rogue,59,80,
clothing,Demon,50,93,
earring,Skull,83,30,
earring,Bluetooth,388,5,
earring,Stitches,244,10,
earring,Hoop,402,10,
earring,Piercings,172,15,
earring,Dangly,209,15,
earring,None,8097,10,
earring,Spike,133,5,
earring,Plug,139,5,
earring,Diamond,62,30,
earring,Ruby,71,25,
loot,Coins,176,10,
loot,Garden Gnome,86,25,
loot,Walking Bomb,359,30,
loot,Gizmo,216,20,
loot,Boombox,390,5,
loot,Treasure Chest Silver,82,10,
loot,Owl,208,15,
loot,Balloon,196,5,
loot,Rocket,79,35,
loot,Astronaut Statue Gold,25,40,
loot,Amp,393,20,
loot,Trash Barrel Red,211,10,
loot,Drone,203,25,
loot,Bomb Drop,49,35,
loot,Blade Ball,184,40,
loot,Trash Barrel Green,399,10,
loot,Alien Egg,407,45,
loot,Treasure Chest Gold,29,45,
loot,Astronaut Statue Silver,112,20,
loot,Phone Booth,370,10,
loot,Inflatable Tube Dancer,332,40,
loot,Arcade Cabinet,199,10,
loot,Pea Shooter,94,35,
loot,Sword In The Stone Gold,24,48,
loot,Retro Computer,412,18,
loot,Medkit,398,42,
loot,Snitch,183,22,
loot,Hourglass,385,7,
loot,Sword In The Stone Silver,75,22,
loot,Red Stapler,403,28,
loot,Moon Trophy,76,38,
loot,Mushroom Red,385,26,
loot,Turtle Shell Green,400,22,
loot,Zombie Fortune Teller,97,43,
loot,Turtle Shell Red,196,37,
loot,Jungle Totem,107,17,
loot,Mushroom Cloud,397,18,
loot,Garden Gnome Zombie,25,43,
loot,Moon,87,46,
loot,Ghost Trap,212,23,
loot,Guitar,392,13,
loot,Leg Lamp,199,33,
loot,Book Of The Dead,71,39,
loot,Mortar,89,44,
loot,Rocket Launcher,80,47,
loot,Red Pill Blue Pill,108,48,
loot,Wilson,213,16,
loot,Mushroom Green,187,22,
