name,readable_name,ipfs_hash,collection,background,weapon,skin,clothing,necklace,mouth,nose,hat,eye,earring,site,twitter,copyright
ZombieChains00020,Zombie Chains #00020,ipfs://QmYUoR2d21MmCDxMHzTiJgBZ7qxKZUgH1biJRuB2rmozka,Zombie Chains,Pink,None,Tattoo,Oktoberfest,None,Pipe With Beard,Nostrils,Raccoon,Eyebrow Raise,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00021,Zombie Chains #00021,ipfs://QmPN56S6Rjq9wHGSAbhYpNjC8Bk7ht9DbHzgbTX5Kg6Jtm,Zombie Chains,Yellow,Sword,Gray,UFO,None,Shark,Solid,Dreads,Normal,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00022,Zombie Chains #00022,ipfs://QmZwXXSgVDUi3XvbAgPtSp7dB3MgaiFrbs7mMpuH4odhCQ,Zombie Chains,Pink,Batons,Red,Business Coat,None,Mischevious,Nostrils,Afro,Safety,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00023,Zombie Chains #00023,ipfs://QmaBmF2FSXPTCE4RKuhypUDJygAeiHMk339p5vXTnzxUEQ,Zombie Chains,Yellow,Arrows,Pink,Firefighter,None,Dandy,Nostrils,Robin Hood,Laser,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00024,Zombie Chains #00024,ipfs://QmX51CWaMaTv6GQ1Gv8PqrGXrb4EU68nnvGi5uWfKnNrkE,Zombie Chains,Blue,Sword,Tiger,Business Coat,None,Beard,Solid,Blonde,Tattoo,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00025,Zombie Chains #00025,ipfs://QmSCB3WiHKsjZLc313UCvBPF8RMKiYmSYDjnVjr3aPbCWf,Zombie Chains,Yellow,None,Red,Coat Hoodie,None,Stitches,Solid,Captain,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00026,Zombie Chains #00026,ipfs://QmYjoxMzb2tcnxWyhnFEgrzgps3Rf9vb6cjtiQkxp1CKGm,Zombie Chains,Green,None,Pink,Business Coat,None,Wolf,Solid,Blonde,Glowing,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00027,Zombie Chains #00027,ipfs://QmZK7BGqnVKBNLd6VEoLyWwsY7BCVcAHaCQeq5AL7Vhixq,Zombie Chains,Yellow,None,Gray,Pirate,Silver,Billy Bob Teeth,Nostrils,Blonde,Night Vision,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00028,Zombie Chains #00028,ipfs://QmPAvoFTtf9Jj4BJF2cRMZ24YHhcw8Y8Ctamc3Q2f1xmAq,Zombie Chains,Yellow,None,Gray,Biker,None,Mischevious,Solid,Man Bun,Eyebrow Raise,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00029,Zombie Chains #00029,ipfs://QmVH5XZqFw5qb3j1HqCpbwzvzvTgqbFP8pycUzj34NzCjT,Zombie Chains,Purple,Batons,Blue,None,None,Cowboy,Solid,Crown,Clown,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00030,Zombie Chains #00030,ipfs://QmVjzxKHTTeWEvZCyh1w4uPRrohuWyFWAbjaE8ntK1zx2W,Zombie Chains,Green,Batons,Cyborg,Pimp,None,Beard,Nostrils,Sun Hat,Wolf,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00031,Zombie Chains #00031,ipfs://QmbGLuzPuBVNityBrS4wuUxHCFPrFxunbwYkXYqpub1jXY,Zombie Chains,Green,Rifle,Tattoo,UFO,None,Thoughtful,Nostrils,Gel,Monocle,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00032,Zombie Chains #00032,ipfs://QmdxnHq8LiLTyrKZSxF3pcE3PyxZo3pJokcv61kfttH4XS,Zombie Chains,Orange,Arrows,Green,Renaissance,None,Smile,Solid,Baseball,Normal,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00033,Zombie Chains #00033,ipfs://QmaATgpWA7b3AkRh8iYpKXZwRtb7TKHEQ4nYiY3k3DsnKi,Zombie Chains,Green,None,Black,Biker,None,Shark,Solid,Beret,Both Brow Raise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00034,Zombie Chains #00034,ipfs://QmchmvaSn6Z1JTYkVRaQBP6u25GKB5X3D4p9S5mkBMN1Kz,Zombie Chains,Purple,None,Purple,None,None,Hockey,Solid,Headphones,Wolf,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00035,Zombie Chains #00035,ipfs://QmeDijg53NbUyBmnGMKe4SsCDF3PqBz3B9gdQh2ZAiPcLG,Zombie Chains,Green,None,Flesh,Caveman,Silver,Dandy,No Nose,Gel,Bulging,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00036,Zombie Chains #00036,ipfs://QmYpKJ2cRDqhVKpLEYC9wkUYFPKdU5yviyjekTr6ifcqdC,Zombie Chains,Green,Sword,Gray,Hippie,None,Billy Bob Teeth,Nostrils,Viking,Bulging,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00037,Zombie Chains #00037,ipfs://QmNeUxgMHBez8RZTADaWxLpaGwECJLAAeKAuVWJ8TmeZoy,Zombie Chains,Purple,None,Green,Hip Hop,None,Thoughtful,Solid,Disheveled,Deep,Eyeball,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00038,Zombie Chains #00038,ipfs://QmQTiMrq64XA6cE4H2fdhSaRCB1C31nAnrgNKDDEAeK3et,Zombie Chains,Green,None,Black,Coat Hoodie,None,Dandy,Bull Ring,Man Bun,Tattoo,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00039,Zombie Chains #00039,ipfs://Qmf6qGaCJYSaoQhNxbsLThowMtR1VSKbGWde33XW8LAzRG,Zombie Chains,Serenity,Batons,Gray,Hippie,None,Billy Bob Teeth,No Nose,Karate,Scar,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00040,Zombie Chains #00040,ipfs://QmQ5gyKogqxppdz9ds9vHdDbw5y6Cmph2hizfcpr3yxFBo,Zombie Chains,Orange,None,Tiger,Business Coat,None,Clown,Solid,Raccoon,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00041,Zombie Chains #00041,ipfs://QmWMVCAS6wCyidjyW7qtu6NmAHQ7WpenLyWXP83SSpaJ5i,Zombie Chains,Blue,Sword,Leopard,Coat Top Button,None,Mischevious,Nostrils,Visor,Dark,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00042,Zombie Chains #00042,ipfs://QmQKsojQRiwa4PXHBRSm9K55fZhxZ8Qnu8eaXBpHac3qYF,Zombie Chains,Pink,None,Purple,Maximalist,Gold,Cigar Goatee,No Nose,Butcher,Both Brow Raise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00043,Zombie Chains #00043,ipfs://QmRBNnXnXm3K8z8EQv8ijrJxieiTASKMdLdDmcWRSzGUvq,Zombie Chains,Orange,None,Gray,Hippie,None,Knife,No Nose,Helmet,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00044,Zombie Chains #00044,ipfs://QmcDj8Pfqn1tYLRSPBBJZryT5qxD5W1YVMerN5S39w4GjL,Zombie Chains,Orange,Rifle,Black,None,Silver,Knight,No Nose,None,Dark,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00045,Zombie Chains #00045,ipfs://QmVZtiptEcaSpM2HaPXb9MPbogF3WWijNjr9gS87YUcBcJ,Zombie Chains,Purple,None,Black,Pirate,Gold,Smile,Solid,Karate,Eyebrow Raise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00046,Zombie Chains #00046,ipfs://QmZPpotNrYLMYVj3JdCfeTa1fCgCnJ2yH2aS6aaTu7Jwk6,Zombie Chains,Yellow,None,Reptile,Voodoo,None,Wolf,Solid,Firefighter,Cat,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00047,Zombie Chains #00047,ipfs://QmbwH44wTbCR5T9RuGxEk7FSoC385s12JA5HAWBjgXfED3,Zombie Chains,Yellow,None,Purple,Suit,Silver,Smile,No Nose,Blonde,Deep,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00048,Zombie Chains #00048,ipfs://QmZqCXrqsFvNTuCMS9b2BUMN7TJYEwWUFHDKzSE1GkQxTo,Zombie Chains,Blue,None,Decay,None,Silver,Clown,No Nose,Karate,Cat,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00049,Zombie Chains #00049,ipfs://QmQH3PvPGq6EhT93CxV4tTpJuiZoGYHg6dpoPk5mZJpQR4,Zombie Chains,Purple,Batons,Red,None,None,Wolf,Solid,Captain,Safety,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00050,Zombie Chains #00050,ipfs://QmXNPzqEb5jydTGRmqfPvSUJEXJS9rHFS7MZfr1wuCXZDG,Zombie Chains,Orange,None,Flesh,None,None,Shark,No Nose,Cat,Normal,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00051,Zombie Chains #00051,ipfs://QmXc2oiUEzinKiBp1PaR6bMWmShcbRPd42w6o6qK6kCHsx,Zombie Chains,Blue,None,Decay,Hip Hop,None,Hockey,Nostrils,Gel,Aviator,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00052,Zombie Chains #00052,ipfs://QmWjMS776vEXUKGbxs7V37XLnBKmuugPV3bvsnvmkEDVsY,Zombie Chains,Green,Arrows,Pink,Roman,None,Fancy,No Nose,None,Wolf,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00053,Zombie Chains #00053,ipfs://QmbSXsYhypZmXhaCbpBohjXtm39b6DJuH9QSmfzDt9FBW5,Zombie Chains,Pink,Sword,Reptile,Renaissance,Gold,Wolf,Nostrils,Helmet,Zombie,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00054,Zombie Chains #00054,ipfs://QmWv1tzXtoQZgL9aeahbdqgdGBDoNpNbHYUBecGQFpQGq2,Zombie Chains,Blue,None,Reptile,Roman,Gold,Billy Bob Teeth,Solid,None,Aviator,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00055,Zombie Chains #00055,ipfs://Qmbiraq9i2bq8Z2TrxBskZTgr3Nf6uqDbVv4KajEyBo5BL,Zombie Chains,Yellow,None,Flesh,None,None,Fancy,Nostrils,Dreads,Bulging,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00056,Zombie Chains #00056,ipfs://QmeA9KEZX637Ccs1Dddu1pfBhSdFhPNUHiwCEFwNH9qDpa,Zombie Chains,Purple,None,Gray,UFO,Silver,Clown,Nostrils,Afro,Night Vision,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00057,Zombie Chains #00057,ipfs://QmXbRVhqmrXjJJR9D58GMo7pfP7xPQ6NqXfS3eXSfFuU3r,Zombie Chains,Blue,Rifle,Green,Biker,None,Dandy,Solid,Dreads,Zombie,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00058,Zombie Chains #00058,ipfs://QmZxNUWAj12vD9MsX3PXXjgaVYqhhgfdtA1WKZCGboBAdZ,Zombie Chains,Pink,Sword,Pink,Maximalist,None,Smile,Nostrils,Cowboy,Zombie,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00059,Zombie Chains #00059,ipfs://QmQokDJ1c1tu7c1G2Wyooreg4hNXdR3LmvgzyTWz67MTKo,Zombie Chains,Purple,Sword,Giraffe,Hip Hop,None,Vampire,Solid,Military,Dark,Eyeball,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00060,Zombie Chains #00060,ipfs://QmdEPoiQc1PrJcU2C9XAyPeU8CDaqihYRraPWd6MHAiCka,Zombie Chains,Pink,Sword,Pink,None,Gold,Smile,Solid,Fedora,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00061,Zombie Chains #00061,ipfs://QmemRmgiMYcCU1V6AVV2NEk7MsFCvMkRLQj1Axk2cNdPQz,Zombie Chains,Pink,Rifle,Gray,Pimp,None,Clown,No Nose,Pumpkin,Scar,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00062,Zombie Chains #00062,ipfs://QmRpGuo8UMinEWmmg9QuCwZDftqZwfCSzZgVJunDB86zmf,Zombie Chains,Orange,None,Gray,Hip Hop,None,Beard,Solid,Robin Hood,Eyebrow Raise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00063,Zombie Chains #00063,ipfs://QmYhpcuYKydu1RAsQNehQ4CUodKDEq9xdUiriR7zatta9k,Zombie Chains,Pink,Rifle,Gray,None,Lock,Grin Beard,Nostrils,Disheveled,Both Brow Raise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00064,Zombie Chains #00064,ipfs://QmbVYa9jDp9QVkxvTL5YVDouSFKLTmV3KRhB9HV4iRW8ta,Zombie Chains,Pink,Sword,Gray,Renaissance,Gold,Hockey,No Nose,Bowler,Glowing,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00065,Zombie Chains #00065,ipfs://QmW1QYJUFmboyCrKhV27bEtbUK9MSCsJ2ei4TUeUHyp9ch,Zombie Chains,Purple,None,Black,Business Coat,Cuffs,Beard,Nostrils,Baseball,Clown,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00066,Zombie Chains #00066,ipfs://QmSzeyAJZrM8oPBEZLrmwTAkEZWyERZc5pLL698gwVLjWw,Zombie Chains,Green,None,Flesh,None,None,Thoughtful,Solid,Dreads,Normal,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00067,Zombie Chains #00067,ipfs://QmXYxvuALnCzGifGfFGZSVpreXibftQNVsYMiz7RYjmMmy,Zombie Chains,Pink,None,Reptile,Plumber,Snake,Mischevious,Nostrils,Wet,Night Vision,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00068,Zombie Chains #00068,ipfs://QmcHAYAxaRqtTEQAGy1JKk5PtzewScckJqWp7FucQ4sRt1,Zombie Chains,Blue,None,Green,Maximalist,Silver,Thoughtful,Solid,Fedora,Deep,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00069,Zombie Chains #00069,ipfs://QmYhaTJuw7G3NDr686jzYJmqXbGKzeCijuGKtNmamQXuuE,Zombie Chains,Pink,Batons,Green,Voodoo,None,Hockey,Solid,Pilot,Disguise,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00070,Zombie Chains #00070,ipfs://Qmef761bbm1sh1gYDWsUvSppPpZCHLpyZUqQbd2V1ijQ9A,Zombie Chains,Yellow,None,Purple,UFO,None,Mischevious,Nostrils,Afro,Deep,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00071,Zombie Chains #00071,ipfs://QmSAwQDthdFNnQoPcoq4D1pgkaJjvo89YpMg3fW6DyLKEe,Zombie Chains,Orange,None,Giraffe,Plumber,None,Smile,Nostrils,None,Glowing,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00072,Zombie Chains #00072,ipfs://QmXMmWjt95SF6ZYzxUZgcc1Wt5eKa1s7vZ3WYxuQSLm328,Zombie Chains,Purple,Sword,Purple,Armor,None,Knight,Solid,None,Scar,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00073,Zombie Chains #00073,ipfs://Qmb1ZHGGwS8SK7Y8wxHhBNQtXStsTTQjEXgNHqDxPaXqCt,Zombie Chains,Pink,None,Decay,Biker,None,Thoughtful,Solid,Wet,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00074,Zombie Chains #00074,ipfs://QmXGLLahN5vE7cqsfax2VH79xT3hTZvUSS9dDtQoSDPLsk,Zombie Chains,Pink,None,Metal,None,None,Dandy,Solid,None,Monocle,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00075,Zombie Chains #00075,ipfs://QmSeFWbnYBD4V38hGAyVDbAis6We2wEEWfCGdmfGK3AGvU,Zombie Chains,Green,None,Black,Pirate,None,Ninja,Solid,Raccoon,Deep,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00076,Zombie Chains #00076,ipfs://QmdZ89TXHqpGwoFKH5Yq8dmf549eZfAvFS7wLhAUkv3m2J,Zombie Chains,Blue,None,Pink,None,None,Pipe With Beard,Solid,Jester,Both Brow Raise,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00077,Zombie Chains #00077,ipfs://QmSXhLzib2MAddsmn3jYdhxD1umvsSvPWNLvKC62vEt9xd,Zombie Chains,Blue,None,Green,None,None,Thoughtful,Solid,Disheveled,Cat,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00078,Zombie Chains #00078,ipfs://QmTBLupxnXkNTFA7XnF5wYPnjrDHWk2XDfy7xrYbxCauMH,Zombie Chains,Pink,None,Blue,Renaissance,Cuffs,Pipe,Solid,Military,Aviator,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00079,Zombie Chains #00079,ipfs://QmbXzoAkFo6KomHHSTAEGgdaG5TxcZeUfjS4PX7tcFzmcA,Zombie Chains,Blue,None,Red,Maximalist,None,Knight,No Nose,Helmet,Deep,Hoop,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00080,Zombie Chains #00080,ipfs://QmerhobG2G1MREMW7t3mEucQtKpRnja5m8WYu9yFCbgmRn,Zombie Chains,Purple,None,Gray,Caveman,None,Cigar Goatee,Solid,Karate,Deep,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00081,Zombie Chains #00081,ipfs://QmW8Lcg15chtFMwXHXCYZggBUNvN1TpRnErLMAv16wYk2M,Zombie Chains,Yellow,Batons,Purple,Maximalist,None,Thoughtful,Solid,None,Zombie,Earbud,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00082,Zombie Chains #00082,ipfs://QmVCszQjcfaYz561RmcuTNEXfAC2LqBFahZZjGGHXPkaiK,Zombie Chains,Green,None,Giraffe,None,None,Wolf,Solid,Baseball,Hypnotized,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00083,Zombie Chains #00083,ipfs://QmRtAxfFCRwEkztQ8KJSekcMx2DnjpyRTDuGEfFot9k92X,Zombie Chains,Green,Rifle,Pink,Biker,Gold,Rainbow Grill,Solid,Firefighter,Clown,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00084,Zombie Chains #00084,ipfs://QmR4jr3ssC7pSQZDw6yx8uxjkizLXA8ZuJVaFzzSkMC7Y9,Zombie Chains,Pink,Arrows,Purple,Business Coat,None,Pipe,Nostrils,Fedora,Clown,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00085,Zombie Chains #00085,ipfs://QmU35D2vc8BAVGX7243yztfC71BNw77jegwoB7xPzNqRgc,Zombie Chains,Orange,Arrows,Green,Wizard,None,Grin Beard,Solid,Bandana,Cat,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00086,Zombie Chains #00086,ipfs://QmYoL42Q1z3HUPW4QNVVC1KVZqcXS8jYutG55cPdcuG5nU,Zombie Chains,Green,None,Purple,Renaissance,None,Hockey,Nostrils,Russian,Clown,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00087,Zombie Chains #00087,ipfs://QmQ3KQh5i4jACwCSR8qSXWvB5x9z1ViGj3RCquZqigE2nc,Zombie Chains,Blue,Batons,Purple,Maximalist,Gold,Clown,No Nose,Captain,Scar,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00088,Zombie Chains #00088,ipfs://QmStwxCnwbQKqY921KUUG2kus8ju8aGyuRRTC5TMBS9Hz6,Zombie Chains,Orange,None,Purple,Oktoberfest,None,Hockey,Solid,Dreads,Mischievious,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
ZombieChains00089,Zombie Chains #00089,ipfs://QmQVRYyxdcPkemkDTp9TpzazrNSFYTnVhzPuCYLzZhH2VZ,Zombie Chains,Pink,Arrows,Blue,Firefighter,None,Thoughtful,Solid,Astronaut,Scar,None,https://zombiechains.io,https://twitter.com/ZombieChains,2021 Zombie Chains
